<DOC>	<DOC>+BDTag
acılı	acı+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
bir	bir+DET
geçmişi	geçmiş+NOUN+A3SG+PNON+ACC
bulunan	bulun+VERB+POS^DB+ADJ+PRESPART
roman	roman+NOUN+A3SG+PNON+NOM
kahramanım	kahraman+NOUN+A3SG+P1SG+NOM
burada	burada+ADV
bütün	bütün+ADJ
dertlerinden	dert+NOUN+A3PL+P2SG+ABL
kurtulur	kurtul+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Acılı	acılı+ADJ
tarhana	tarhana+NOUN+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çekikgöz	Çekikgöz+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
temiz	temiz+ADJ
giyimli	giyim+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
sarhoş	sarhoş+ADJ
beyin	bey+NOUN+A3SG+PNON+GEN
gözlerindeki	göz+NOUN+A3PL+P2SG+LOC^DB+ADJ+REL
yaşları	yaş+NOUN+A3PL+PNON+ACC
fark	fark+NOUN+A3SG+PNON+NOM
edince	et+VERB+POS^DB+ADV+WHEN
ona	o+PRON+PERS+A3SG+PNON+DAT
acıdı	acı+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Nasıl	nasıl+ADV
acıdı	acı+VERB+POS+PAST+A3SG
elim	el+NOUN+A3SG+P1SG+NOM
,	,+PUNC
sopa	sopa+NOUN+A3SG+PNON+NOM
elimden	el+NOUN+A3SG+P1SG+ABL
düştü	düş+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bomboş	bomboş+ADJ
,	,+PUNC
acımasız	acımasız+ADJ
bakan	bak+VERB+POS^DB+ADJ+PRESPART
gözler	göz+NOUN+A3PL+PNON+NOM
,	,+PUNC
sert	sert+ADJ
ince	ince+ADJ
dudaklı	dudak+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
ağız	ağız+NOUN+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yarını	yarın+NOUN+A3SG+P3SG+NOM
ne	ne+ADJ
olacak	ol+VERB+POS+FUT+A3SG
dünyamızın	dünya+NOUN+A3SG+P1PL+GEN
/	/+PUNC
Biz	biz+PRON+PERS+A1PL+PNON+NOM
yaşımızı	yaş+NOUN+A3SG+P1PL+ACC
başımızı	baş+NOUN+A3SG+P1PL+ACC
aldık	al+VERB+POS+PAST+A1PL
/	/+PUNC
Allah	allah+NOUN+PROP+A3SG+PNON+NOM
çocuklarımıza	çocuk+NOUN+A3PL+P1PL+DAT
acısın	acı+VERB+POS+IMP+A3SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Acısız	acı+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT
doğum	doğum+NOUN+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ata	ata+NOUN+A3SG+PNON+NOM
Efendi	efendi+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
depoya	depo+NOUN+A3SG+PNON+DAT
yığılı	yığılı+ADJ
kerestelerin	kereste+NOUN+A3PL+PNON+GEN
reçine	reçine+NOUN+A3SG+PNON+NOM
kokusundan	koku+NOUN+A3SG+P3SG+ABL
hazzettiğini	hazzet+VERB+POS^DB+NOUN+PASTPART+A3SG+P3SG+ACC
anladı	anla+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İşi	iş+NOUN+A3SG+PNON+ACC
bir	bir+DET
ucundan	uç+NOUN+A3SG+P2SG+ABL
tuttuk	tut+VERB+POS+PAST+A1PL
,	,+PUNC
acı	acı+ADJ
tatlı	tatlı+ADJ
konuşup	konuş+VERB+POS^DB+ADV+AFTERDOINGSO
durduk	dur+VERB+POS+PAST+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Acı	acı+ADJ
su	su+NOUN+A3SG+PNON+NOM
sabunu	sabun+NOUN+A3SG+P3SG+NOM
köpürtmez	köpür+VERB^DB+VERB+CAUS+NEG+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Biraz	biraz+ADJ
sonra	sonra+ADV
Gazi	gazi+NOUN+A3SG+PNON+NOM
yanına	yan+NOUN+A3SG+P3SG+DAT
seryaveri	seryaver+NOUN+A3SG+P3SG+NOM
Salih	salih+NOUN+PROP+A3SG+PNON+NOM
Bey'in	bey+NOUN+PROP+A3SG+PNON+GEN
yaveri	yaver+NOUN+A3SG+P3SG+NOM
Muzaffer	muzaffer+NOUN+PROP+A3SG+PNON+NOM
Bey'i	bey+NOUN+PROP+A3SG+PNON+ACC
ve	ve+CONJ
âcizi	âcizi+NOUN+A3SG+PNON+NOM
alarak	al+VERB+POS^DB+ADV+BYDOINGSO
otomobile	otomobil+NOUN+A3SG+PNON+DAT
bindi	bin+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Borçlarını	borç+NOUN+A3PL+P3PL+ACC
ödeyemeyen	öde+VERB^DB+VERB+ABLE+NEG^DB+ADJ+PRESPART
şirketin	şirket+NOUN+A3SG+PNON+GEN
aciz	aciz+ADJ
halinde	hal+NOUN+A3SG+P3SG+LOC
olduğu	ol+VERB+POS^DB+NOUN+PASTPART+A3SG+P3SG+NOM
ilan	ilan+NOUN+A3SG+PNON+NOM
edildi	et+VERB^DB+VERB+PASS+POS+PAST+A3SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Acul	acul+ADJ
bir	bir+DET
adam	adam+NOUN+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Mahallede	mahalle+NOUN+A3SG+PNON+LOC
acubelerin	acube+NOUN+A3PL+PNON+GEN
diline	dil+NOUN+A3SG+P3SG+DAT
düşmekten	düş+VERB+POS^DB+NOUN+INF+A3SG+PNON+ABL
korkuyorum	kork+VERB+POS+PROG1+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ben	ben+PRON+PERS+A1SG+PNON+NOM
aç	aç+ADJ
yattım	yat+VERB+POS+PAST+A1SG
mı	mi+QUES+PRES+A3SG
kötü	kötü+ADJ
kötü	kötü+ADJ
rüyalar	rüya+NOUN+A3PL+PNON+NOM
görürüm	gör+VERB+POS+AOR+A1SG
nedense	nedense+ADV
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Geç	geç+ADJ
vakit	vakit+NOUN+A3SG+PNON+NOM
dönen	dön+VERB+POS^DB+ADJ+PRESPART
zengin	zengin+ADJ
ve	ve+CONJ
ecnebi	ecnebi+ADJ
kumarcıların	kumarcı+NOUN+A3PL+PNON+GEN
acul	acul+ADJ
arabalarını	araba+NOUN+A3PL+P3PL+ACC
duymuyor	duy+VERB+NEG+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Her	her+DET
oyunda	oyun+NOUN+A3SG+PNON+LOC
,	,+PUNC
ele	el+NOUN+A3SG+PNON+DAT
aldığım	al+VERB+POS^DB+ADJ+PASTPART+P1SG
konu	konu+NOUN+A3SG+PNON+NOM
için	için+POSTP+PCNOM
yeni	yeni+ADJ
bir	bir+DET
şekil	şekil+NOUN+A3SG+PNON+NOM
,	,+PUNC
dramatik	dramatik+ADJ
açıdan	açı+NOUN+A3SG+PNON+ABL
ve	ve+CONJ
sahneleme	sahneleme+NOUN+A3SG+PNON+NOM
açısından	açı+NOUN+A3SG+P3SG+ABL
yeni	yeni+ADJ
bir	bir+DET
üslup	üslup+NOUN+A3SG+PNON+NOM
bulmaya	bul+VERB+POS^DB+NOUN+INF2+A3SG+PNON+DAT
çalışıyorum	çalış+VERB+POS+PROG1+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Salçanın	salça+NOUN+A3SG+PNON+GEN
tenekesini	teneke+NOUN+A3SG+P3SG+ACC
açacakla	açacak+NOUN+A3SG+PNON+INS
zor	zor+ADJ
açtım	aç+VERB+POS+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Açık	açık+ADJ
adımlarla	adım+NOUN+A3PL+PNON+INS
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yolcuların	yolcu+NOUN+A3PL+PNON+GEN
hepsi	hepsi+PRON+QUANTP+A3PL+P3PL+NOM
indikten	in+VERB+POS^DB+NOUN+PASTPART+A3SG+PNON+ABL
sonra	sonra+POSTP+PCABL
Mehmet	mehmet+NOUN+PROP+A3SG+PNON+NOM
Akif	akif+NOUN+PROP+A3SG+PNON+NOM
göründü	görün+VERB+POS+PAST+A3SG
,	,+PUNC
beni	ben+PRON+PERS+A1SG+PNON+ACC
açık	açık+ADJ
başıyla	baş+NOUN+A3SG+P3SG+INS
selamladı	selamla+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
her	her+DET
çeşit	çeşit+NOUN+A3SG+PNON+NOM
kafa	kafa+NOUN+A3SG+PNON+NOM
ve	ve+CONJ
gönül	gönül+NOUN+A3SG+PNON+NOM
fırtınalarına	fırtına+NOUN+A3PL+P2SG+DAT
açık	açık+ADJ
bir	bir+DET
adamdı	adam+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
o	o+PRON+PERS+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Açık	açık+ADV
konuşma	konuş+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
zamanının	zaman+NOUN+A3SG+P3SG+GEN
artık	artık+ADV
geldiğine	gel+VERB+POS^DB+NOUN+PASTPART+A3SG+P3SG+DAT
kani	kani+ADJ
idim	i+VERB+POS+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bütçe	bütçe+NOUN+A3SG+PNON+NOM
açığı	açık+ADJ^DB+NOUN+ZERO+A3SG+P3SG+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Limanda	liman+NOUN+A3SG+PNON+LOC
bilinen	bilin+VERB+POS^DB+ADJ+PRESPART
gemiler	gemi+NOUN+A3PL+PNON+NOM
,	,+PUNC
oysa	o+PRON+DEMONSP+A3SG+PNON+NOM^DB+VERB+ZERO+COND+A3SG
açıklardadır	açık+ADJ^DB+NOUN+ZERO+A3PL+PNON+LOC^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Açık	açık+ADV
açık	açık+ADV
anlattı	anlat+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Tren	tren+NOUN+A3SG+PNON+NOM
yolu	yol+NOUN+A3SG+P3SG+NOM
nehrin	nehir+NOUN+A3SG+PNON+GEN
açığından	açık+ADJ^DB+NOUN+ZERO+A3SG+P3SG+ABL
geçer	geç+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Uçurtmalar	uçurtma+NOUN+A3PL+PNON+NOM
biraz	biraz+ADV
gök	gök+NOUN+A3SG+PNON+NOM
,	,+PUNC
açık	açık+ADJ
hava	hava+NOUN+A3SG+PNON+NOM
ve	ve+CONJ
rüzgâr	rüzgâr+NOUN+A3SG+PNON+NOM
ister	iste+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Susuzluk	susuzluk+NOUN+A3SG+PNON+NOM
korkusu	korku+NOUN+A3SG+P3SG+NOM
,	,+PUNC
çölde	çöl+NOUN+A3SG+PNON+LOC
,	,+PUNC
açık	açık+ADJ
denizde	deniz+NOUN+A3SG+PNON+LOC
,	,+PUNC
çorak	çorak+ADJ
bir	bir+DET
dağ	dağ+NOUN+A3SG+PNON+NOM
başında	baş+NOUN+A3SG+P3SG+LOC
kapkara	kapkara+ADJ
kızgın	kızgın+ADJ
bir	bir+DET
el	el+NOUN+A3SG+PNON+NOM
gibi	gibi+POSTP+PCNOM
insanın	insan+NOUN+A3SG+PNON+GEN
gırtlağına	gırtlak+NOUN+A3SG+P3SG+DAT
sarılabilir	sarıl+VERB+POS^DB+VERB+ABLE+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Açık	açık+ADJ
kalpli	kalp+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
olmamak	ol+VERB+NEG^DB+NOUN+INF+A3SG+PNON+NOM
çağ	çağ+NOUN+A3SG+PNON+NOM
dışı	dış+NOUN+A3SG+P3SG+NOM
bir	bir+DET
tutum	tutum+NOUN+A3SG+PNON+NOM
olur	ol+VERB+POS+AOR+A3SG
