<DOC>	<DOC>+BDTag
devam	devam+NOUN+A3SG+PNON+NOM
etsin	et+VERB+POS+IMP+A3SG
"	"+PUNC
demek	de+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
istiyorum	iste+VERB+POS+PROG1+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İki	iki+NUM+CARD
veli	veli+NOUN+A3SG+PNON+NOM
dokunulsa	dokun+VERB^DB+VERB+PASS+POS+DESR+A3SG
ağlayacaktı	ağla+VERB+POS+FUT+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ahmed	ahmed+NOUN+PROP+A3SG+PNON+NOM
Rasim	rasim+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
Büyükada'ya	büyükada+NOUN+PROP+A3SG+PNON+DAT
gidip	git+VERB+POS^DB+ADV+AFTERDOINGSO
birkaç	birkaç+DET
gün	gün+NOUN+A3SG+PNON+NOM
kalmayı	kal+VERB+POS^DB+NOUN+INF2+A3SG+PNON+ACC
tasarlamıştı	tasarla+VERB+POS+NARR+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Saddam	saddam+NOUN+PROP+A3SG+PNON+NOM
Hüseyin	hüseyin+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
42	42+NUM+CARD
yaşında	yaş+NOUN+A3SG+P3SG+LOC
iken	iken+ADV
bir	bir+DET
darbeyle	darbe+NOUN+A3SG+PNON+INS
iktidara	iktidar+NOUN+A3SG+PNON+DAT
el	el+NOUN+A3SG+PNON+NOM
koydu	koy+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
meslek	meslek+NOUN+A3SG+PNON+NOM
böyledir	böyle+ADJ^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Rüzgâr	rüzgâr+NOUN+A3SG+PNON+NOM
yine	yine+ADV
güçlü	güç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
esiyordu	es+VERB+POS+PROG1+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Genel	genel+ADJ
yapısı	yapı+NOUN+A3SG+P3SG+NOM
içerisinde	içeri+NOUN+A3SG+P3SG+LOC
ihracat	ihracat+NOUN+A3SG+PNON+NOM
teşviği	teşvik+NOUN+A3SG+P3SG+NOM
yok	yok+ADV
denecek	de+VERB^DB+VERB+REFLEX+POS^DB+ADJ+FUTPART+PNON
bir	bir+DET
seviyede	seviye+NOUN+A3SG+PNON+LOC
bulunmaktadır	bulun+VERB+POS+PROG2+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Filmde	film+NOUN+A3SG+PNON+LOC
kamburunu	kambur+NOUN+A3SG+P3SG+ACC
çıkarmış	çıkar+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+NARR+A3SG
eski	eski+ADJ
Yugoslav	yugoslav+NOUN+PROP+A3SG+PNON+NOM
lideri	lider+NOUN+A3SG+P3SG+NOM
,	,+PUNC
iki	iki+NUM+CARD
kişinin	kişi+NOUN+A3SG+PNON+GEN
arasında	ara+NOUN+A3SG+P3SG+LOC
elleri	el+NOUN+A3PL+P3SG+NOM
önden	ön+NOUN+A3SG+PNON+ABL
bağlı	bağlı+ADJ
,	,+PUNC
cezaevi	cezaev+NOUN+A3SG+P3SG+NOM
avlusunda	avlu+NOUN+A3SG+P3SG+LOC
yürüyor	yürü+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Öte	öte+NOUN+A3SG+PNON+NOM
yandan	yan+NOUN+A3SG+PNON+ABL
Sarı	sarı+ADJ
-	-+PUNC
Lacivertliler	Lacivertliler+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
yarın	yarın+NOUN+A3SG+PNON+NOM
Samandıra	Samandıra+NOUN+PROP+A3SG+PNON+NOM
Tesisleri'nde	tesis+NOUN+PROP+A3PL+P3PL+LOC
Türk	türk+NOUN+A3SG+PNON+NOM
Telekom	telekom+NOUN+PROP+A3SG+PNON+NOM
Lig	lig+NOUN+A3SG+PNON+NOM
A	a+NOUN+PROP+A3SG+PNON+NOM
takımlarından	takım+NOUN+A3PL+P3SG+ABL
Kocaelispor'la	kocaelispor+NOUN+PROP+A3SG+PNON+INS
saat	saat+NOUN+A3SG+PNON+NOM
19.30'da	19.30+NUM+REAL^DB+NOUN+ZERO+A3SG+PNON+LOC
bir	bir+DET
hazırlık	hazırlık+NOUN+A3SG+PNON+NOM
maçı	maç+NOUN+A3SG+PNON+ACC
yapacak	yap+VERB+POS+FUT+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
1	1+NUM+CARD
kutu	kutu+NOUN+A3SG+PNON+NOM
kuşkonmaz	kuşkonmaz+NOUN+A3SG+PNON+NOM
konservesi	konserve+NOUN+A3SG+P3SG+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
Sabahları	sabahları+ADV
hiçbir	hiçbir+DET
şey	şey+NOUN+A3SG+PNON+NOM
yemeden	ye+VERB+POS^DB+ADV+WITHOUTHAVINGDONESO
içmeden	iç+VERB+POS^DB+ADV+WITHOUTHAVINGDONESO
,	,+PUNC
paldür	paldür+NOUN+A3SG+PNON+NOM
küldür	kül+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3SG
çıkıyorum	çık+VERB+POS+PROG1+A1SG
evden	ev+NOUN+A3SG+PNON+ABL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Peki	peki+ADV
kim	kim+PRON+QUESP+A3SG+PNON+NOM
bu	bu+PRON+DEMONSP+A3SG+PNON+NOM
küçük	küçük+ADJ
ve	ve+CONJ
basit	basit+ADJ
sebepleri	sebep+NOUN+A3PL+PNON+ACC
devleştirerek	devleş+VERB^DB+VERB+CAUS+POS^DB+ADV+BYDOINGSO
aramıza	ara+NOUN+A3SG+P1PL+DAT
sokup	sok+VERB+POS^DB+ADV+AFTERDOINGSO
duruyor	dur+VERB+POS+PROG1+A3SG
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Tepelere	tepe+NOUN+A3PL+PNON+DAT
sisler	sis+NOUN+A3PL+PNON+NOM
indi	in+VERB+POS+PAST+A3SG
...	...+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
albüm	albüm+NOUN+A3SG+PNON+NOM
hit	hit+NOUN+A3SG+PNON+NOM
şarkı	şarkı+NOUN+A3SG+PNON+NOM
çıkarmaz	çık+VERB^DB+VERB+CAUS+NEG+AOR+A3SG
,	,+PUNC
dedim	de+VERB+POS+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Meşrutiyetin	meşrutiyet+NOUN+A3SG+PNON+GEN
ilanından	ilan+NOUN+A3SG+P3SG+ABL
önceki	önceki+ADJ
siyasi	siyasi+ADJ
faaliyetlere	faaliyet+NOUN+A3PL+PNON+DAT
katıldı	katıl+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
O	o+DET
halde	hal+NOUN+A3SG+PNON+LOC
,	,+PUNC
"	"+PUNC
kaybeden	kaybet+VERB+POS^DB+ADJ+PRESPART
sanatçı	sanatçı+NOUN+A3SG+PNON+NOM
"	"+PUNC
açısından	açı+NOUN+A3SG+P3SG+ABL
geçmişi	geçmiş+NOUN+A3SG+PNON+ACC
yeniden	yeniden+ADV
günışığına	günışığı+NOUN+A3SG+P2SG+DAT
sürmek	sür+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
,	,+PUNC
hiç	hiç+ADV
de	de+CONJ
önemsiz	önemsiz+ADJ
değil	değil+ADJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
tesisin	tesis+NOUN+A3SG+PNON+GEN
,	,+PUNC
SASA'nın	sasa+NOUN+PROP+A3SG+PNON+GEN
büyümesinde	büyü+VERB+POS^DB+NOUN+INF2+A3SG+P3SG+LOC
büyük	büyük+ADJ
katkısı	katkı+NOUN+A3SG+P3SG+NOM
oldu	ol+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
-	-+PUNC
Öger	öger+NOUN+PROP+A3SG+PNON+NOM
Prodüksiyon	prodüksiyon+NOUN+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İşte	işte+INTERJ
bu	bu+DET
epizodda	epizod+NOUN+A3SG+PNON+LOC
,	,+PUNC
Vâmık	Vâmık+NOUN+PROP+A3SG+PNON+NOM
Bey'in	bey+NOUN+PROP+A3SG+PNON+GEN
köşküne	köşk+NOUN+A3SG+P3SG+DAT
giden	git+VERB+POS^DB+ADJ+PRESPART
yolda	yol+NOUN+A3SG+PNON+LOC
,	,+PUNC
anlatıcı	anlatıcı+NOUN+A3SG+PNON+NOM
,	,+PUNC
"	"+PUNC
insan	insan+NOUN+A3SG+PNON+NOM
sefaletlerinin	sefalet+NOUN+A3PL+P3SG+GEN
bir	bir+DET
sergisini	sergi+NOUN+A3SG+P3SG+ACC
görür	gör+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çağırdım	çağır+VERB+POS+PAST+A1SG
Genelkurmay	genelkurmay+NOUN+A3SG+PNON+NOM
Başkanı'nı	başkan+NOUN+A3SG+P3SG+ACC
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yalnız	yalnız+ADV
,	,+PUNC
neden	neden+ADV
yaşamak	yaşa+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
ıstırap	ıstırap+NOUN+A3SG+PNON+NOM
verici	ver+VERB+POS^DB+ADJ+AGT
bir	bir+DET
şey	şey+NOUN+A3SG+PNON+NOM
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
-	-+PUNC
Çocuklar	çocuk+NOUN+A3PL+PNON+NOM
,	,+PUNC
gördüğünüz	gör+VERB+POS^DB+NOUN+PASTPART+A3SG+P2PL+NOM
gibi	gibi+POSTP+PCNOM
dinleneceğimiz	dinlen+VERB+POS^DB+ADJ+FUTPART+P1PL
,	,+PUNC
oynayacağımız	oyna+VERB+POS^DB+ADJ+FUTPART+P1PL
,	,+PUNC
yemeklerimizi	yemek+NOUN+A3PL+P1PL+ACC
yiyip	ye+VERB+POS^DB+ADV+AFTERDOINGSO
,	,+PUNC
yarışmalar	yarışma+NOUN+A3PL+PNON+NOM
yapacağımız	yap+VERB+POS^DB+ADJ+FUTPART+P1PL
yere	yer+NOUN+A3SG+PNON+DAT
geldik	gel+VERB+POS+PAST+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ama	ama+CONJ
önce	önce+ADV
,	,+PUNC
uyumadan	uyu+VERB+POS^DB+ADV+WITHOUTHAVINGDONESO
önce	önce+ADV
notlarıma	not+NOUN+A3PL+P1SG+DAT
bir	bir+DET
çeki	çek+NOUN+A3SG+P3SG+NOM
düzen	düzen+NOUN+A3SG+PNON+NOM
vermem	ver+VERB+POS^DB+NOUN+INF2+A3SG+P1SG+NOM
gerek	gerek+NOUN+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
1978	1978+NUM+CARD
yılında	yıl+NOUN+A3SG+P3SG+LOC
,	,+PUNC
Unesco	unesco+NOUN+PROP+A3SG+PNON+NOM
Yürütme	yürütme+NOUN+A3SG+PNON+NOM
Kurulu'na	kurulu+NOUN+PROP+A3SG+PNON+DAT
,	,+PUNC
Türkiye'yi	türkiye+NOUN+PROP+A3SG+PNON+ACC
temsil	temsil+NOUN+A3SG+PNON+NOM
edecek	et+VERB+POS^DB+ADJ+FUTPART+PNON
üye	üye+NOUN+A3SG+PNON+NOM
olarak	ol+VERB+POS^DB+ADV+BYDOINGSO
seçilmiştim	seç+VERB^DB+VERB+PASS+POS+NARR+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Saçlarından	saç+NOUN+A3PL+P3SG+ABL
tutup	tut+VERB+POS^DB+ADV+AFTERDOINGSO
birer	bir+NUM+CARD^DB+ADJ+DISTRIB
birer	bir+NUM+CARD^DB+ADJ+DISTRIB
,	,+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Saçlarını	saç+NOUN+A3PL+P3SG+ACC
yıkamış	yıka+VERB+POS+NARR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yatağan	yatağan+NOUN+A3SG+PNON+NOM
,	,+PUNC
Milas	milas+NOUN+PROP+A3SG+PNON+NOM
ve	ve+CONJ
Akılcılık	akılcılık+NOUN+A3SG+PNON+NOM
...	...+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sonra	sonra+ADV
da	da+CONJ
yayılıp	yayıl+VERB+POS^DB+ADV+AFTERDOINGSO
,	,+PUNC
kan	kan+NOUN+A3SG+PNON+NOM
ve	ve+CONJ
vahşet	vahşet+NOUN+A3SG+PNON+NOM
taşıyarak	taşı+VERB+POS^DB+ADV+BYDOINGSO
,	,+PUNC
boğdular	boğ+VERB+POS+PAST+A3PL
o	o+DET
özgürlükleri	özgürlük+NOUN+A3PL+P3SG+NOM
de	de+CONJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
"	"+PUNC
Hayır	hayır+NOUN+A3SG+PNON+NOM
,	,+PUNC
ben	ben+PRON+PERS+A1SG+PNON+NOM
masal	masal+NOUN+A3SG+PNON+NOM
istiyorum	iste+VERB+POS+PROG1+A1SG
!	!+PUNC
"	"+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
"	"+PUNC
Yeni	yeni+ADJ
emekli	emekli+ADJ
olmuş	ol+VERB+POS+NARR^DB+ADJ+ZERO
general	general+NOUN+A3SG+PNON+NOM
bir	bir+DET
dostum	dost+NOUN+A3SG+P1SG+NOM
,	,+PUNC
taşındığı	taşın+VERB+POS^DB+ADJ+PASTPART+P3SG
95	95+NUM+CARD
metrekarelik	metrekare+NOUN+A3SG+PNON+NOM^DB+ADJ+FITFOR
evinde	ev+NOUN+A3SG+P3SG+LOC
,	,+PUNC
aldığı	al+VERB+POS^DB+ADJ+PASTPART+P3SG
plaketleri	plaket+NOUN+A3PL+PNON+ACC
asacak	as+VERB+POS^DB+ADJ+FUTPART+PNON
duvar	duvar+NOUN+A3SG+PNON+NOM
bulamadığı	bul+VERB^DB+VERB+ABLE+NEG^DB+NOUN+PASTPART+A3SG+P3SG+NOM
gibi	gibi+POSTP+PCNOM
bunları	bu+PRON+DEMONSP+A3PL+PNON+ACC
yerleştirdiği	yerleş+VERB^DB+VERB+CAUS+POS^DB+ADJ+PASTPART+P3SG
sandıkları	sandık+NOUN+A3PL+PNON+ACC
koyacak	koy+VERB+POS^DB+ADJ+FUTPART+PNON
yer	yer+NOUN+A3SG+PNON+NOM
olmadığından	ol+VERB+NEG^DB+NOUN+PASTPART+A3SG+P3SG+ABL
yakındı	yakın+VERB+POS+PAST+A3SG
,	,+PUNC
Ne	ne+PRON+QUESP+A3SG+PNON+NOM
yapayım	yap+VERB+POS+OPT+A1SG
?	?+PUNC
'	'+PUNC
dedi	de+VERB+POS+PAST+A3SG
"	"+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Güzel	güzel+ADJ
bayrağımızda	bayrak+NOUN+A3SG+P1PL+LOC
</S>	</S>+ESTag
<S>	<S>+BSTag
Helikopterler	helikopter+NOUN+A3PL+PNON+NOM
ve	ve+CONJ
uçaklar	uçak+NOUN+A3PL+PNON+NOM
da	da+CONJ
gökyüzünde	gökyüz+NOUN+A3SG+P3SG+LOC
uçarlar	uçar+ADJ^DB+NOUN+ZERO+A3PL+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+PRON+DEMONSP+A3SG+PNON+NOM
işe	iş+NOUN+A3SG+PNON+DAT
bir	bir+DET
çözüm	çözüm+NOUN+A3SG+PNON+NOM
bulacağınızı	bul+VERB+POS^DB+NOUN+FUTPART+A3SG+P2PL+ACC
ümit	ümit+NOUN+A3SG+PNON+NOM
ediyor	et+VERB+POS+PROG1+A3SG
saygılar	saygı+NOUN+A3PL+PNON+NOM
sunuyorum	sun+VERB+POS+PROG1+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ancak	ancak+CONJ
bu	bu+PRON+DEMONSP+A3SG+PNON+NOM
bir	bir+DET
teferruat	teferruat+NOUN+A3SG+PNON+NOM
gayet	gayet+ADV
tabii	tabii+ADJ
ki	ki+CONJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Postmodernleşen	postmodern+ADJ^DB+VERB+BECOME+POS^DB+ADJ+PRESPART
dünyayla	dünya+NOUN+A3SG+PNON+INS
birlikte	birlikte+POSTP+PCINS
edebiyatın	edebiyat+NOUN+A3SG+PNON+GEN
algılanışı	algılanış+NOUN+A3SG+P3SG+NOM
da	da+CONJ
dönüştü	dönüş+VERB+POS+PAST+A3SG
;	;+PUNC
giderek	giderek+ADV
bir	bir+DET
eğlence	eğlence+NOUN+A3SG+PNON+NOM
nesnesi	nesne+NOUN+A3SG+P3SG+NOM
,	,+PUNC
hoşça	hoşça+ADJ
vakit	vakit+NOUN+A3SG+PNON+NOM
geçirme	geçir+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
aracı	araç+NOUN+A3SG+P3SG+NOM
olarak	ol+VERB+POS^DB+ADV+BYDOINGSO
değerlendiriliyor	değerlendir+VERB^DB+VERB+PASS+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
1966	1966+NUM+CARD
yılında	yıl+NOUN+A3SG+P3SG+LOC
Bafa	Bafa+NOUN+PROP+A3SG+PNON+NOM
gölünün	göl+NOUN+A3SG+P3SG+GEN
kuzeyinde	kuzey+NOUN+A3SG+P3SG+LOC
yer	yer+NOUN+A3SG+PNON+NOM
alan	al+VERB+POS^DB+ADJ+PRESPART
Kayalık	kayalık+NOUN+A3SG+PNON+NOM
Beşparmak	beşparmak+NOUN+A3SG+PNON+NOM
dağlarına	dağ+NOUN+A3PL+P3SG+DAT
tırmanıyorduk	tırman+VERB+POS+PROG1+PAST+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
2	2+NUM+CARD
bardak	bardak+NOUN+A3SG+PNON+NOM
taze	taze+ADJ
pırasa	pırasa+NOUN+A3SG+PNON+NOM
,	,+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sonradan	sonradan+ADV
bir	bir+DET
inceldi	incel+VERB+POS+PAST+A3SG
,	,+PUNC
bir	bir+DET
inceldi	incel+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ama	ama+CONJ
beni	ben+PRON+PERS+A1SG+PNON+ACC
basketbol	basketbol+NOUN+A3SG+PNON+NOM
takımına	takım+NOUN+A3SG+P3SG+DAT
almadılar	al+VERB+NEG+PAST+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bir	bir+DET
yandan	yan+NOUN+A3SG+PNON+ABL
da	da+CONJ
benimsediğim	benimse+VERB+POS^DB+ADJ+PASTPART+P1SG
modern	modern+ADJ
öykücülüğün	öykücülük+NOUN+A3SG+PNON+GEN
çizgisinde	çizgi+NOUN+A3SG+P3SG+LOC
öyküler	öykü+NOUN+A3PL+PNON+NOM
karalıyordum	karala+VERB+POS+PROG1+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
"	"+PUNC
Baba	baba+NOUN+PROP+A3SG+PNON+NOM
"	"+PUNC
deriz	de+VERB+POS+AOR+A1PL
,	,+PUNC
"	"+PUNC
baba	baba+NOUN+A3SG+PNON+NOM
ölüm	ölüm+NOUN+A3SG+PNON+NOM
nedir	ne+PRON+QUESP+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3SG
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bundan	bu+PRON+DEMONSP+A3SG+PNON+ABL
sonra	sonra+POSTP+PCABL
"	"+PUNC
çağdaş	çağdaş+ADJ
olimpiyatlar	olimpiyat+NOUN+A3PL+PNON+NOM
"	"+PUNC
adıyla	ad+NOUN+A3SG+P3SG+INS
anıldı	an+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yalnızca	yalnızca+ADV
TPAO	tpao+NOUN+PROP+A3SG+PNON+NOM
ve	ve+CONJ
BOTAŞ	BOTAŞ+NOUN+PROP+A3SG+PNON+NOM
tarafından	tarafından+ADV
2	2+NUM+CARD
adet	adet+NOUN+A3SG+PNON+NOM
proje	proje+NOUN+A3SG+PNON+NOM
yürütülüyor	yürüt+VERB^DB+VERB+PASS+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Cevap	cevap+NOUN+A3SG+PNON+NOM
şöyleydi	şöyle+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
:	:+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Müjdeler	müjde+NOUN+A3PL+PNON+NOM
var	var+ADJ
yurdumun	yurt+NOUN+A3SG+P1SG+GEN
toprağına	toprak+NOUN+A3SG+P3SG+DAT
taşına	taş+NOUN+A3SG+P3SG+DAT
,	,+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yemek	yemek+NOUN+A3SG+PNON+NOM
yemiş	yemiş+NOUN+A3SG+PNON+NOM
çıkmıştım	çık+VERB+POS+NARR+PAST+A1SG
,	,+PUNC
daha	daha+ADV
acıkmamışım	acık+VERB+NEG+NARR+A1SG
diyerek	de+VERB+POS^DB+ADV+BYDOINGSO
masadan	masa+NOUN+A3SG+PNON+ABL
kalktım	kalk+VERB+POS+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+PRON+DEMONSP+A3SG+PNON+NOM
soruya	soru+NOUN+A3SG+PNON+DAT
Veysel'in	veysel+NOUN+PROP+A3SG+PNON+GEN
"	"+PUNC
