<DOC>	<DOC>+BDTag
Denver'den	denver+NOUN+PROP+A3SG+PNON+ABL
Pittsburgh'a	pittsburgh+NOUN+PROP+A3SG+PNON+DAT
olan	ol+VERB+POS^DB+ADJ+PRESPART
hangi	hangi+ADJ
uçuş	uç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM
sabah	sabah+NOUN+A3SG+PNON+NOM
en	en+ADV
erken	erken+ADV
gelir	gel+VERB+POS+AOR+A3SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Toronto'dan	toronto+NOUN+PROP+A3SG+PNON+ABL
Montreal'a	montreal+NOUN+PROP+A3SG+PNON+DAT
cuma	cuma+NOUN+PROP+A3SG+PNON+NOM
erken	erken+ADV
varışlı	var+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM^DB+ADJ+WITH
bir	bir+DET
uçuş	uç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM
istiyorum	iste+VERB+POS+PROG1+A1SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Bana	ben+PRON+PERS+A1SG+PNON+DAT
yarından	yarın+NOUN+A3SG+PNON+ABL
sonraki	sonraki+ADJ
gün	gün+NOUN+A3SG+PNON+NOM
için	için+POSTP+PCNOM
Atlanta'dan	atlanta+NOUN+PROP+A3SG+PNON+ABL
Denver'e	denver+NOUN+PROP+A3SG+PNON+DAT
tüm	tüm+DET
US	us+NOUN+A3SG+PNON+NOM
Air	air+NOUN+PROP+A3SG+PNON+NOM
uçuşlarını	uç+VERB+POS^DB+NOUN+INF3+A3PL+P3SG+ACC
göster	göster+VERB+POS+IMP+A2SG
</S>	</S>+ESTag
<S>	<S>+BSTag
New	new+NOUN+PROP+A3SG+PNON+NOM
York'tan	york+NOUN+PROP+A3SG+PNON+ABL
Montreal	montreal+NOUN+PROP+A3SG+PNON+NOM
Kanada'ya	kanada+NOUN+PROP+A3SG+PNON+DAT
Çarşamba	çarşamba+NOUN+PROP+A3SG+PNON+NOM
günü	gün+NOUN+A3SG+P3SG+NOM
kalkan	kalk+VERB+POS^DB+ADJ+PRESPART
uçuşların	uç+VERB+POS^DB+NOUN+INF3+A3PL+PNON+GEN
listesini	liste+NOUN+A3SG+P3SG+ACC
alabilir	al+VERB+POS^DB+VERB+ABLE+AOR+A3SG
miyim	mi+QUES+PRES+A1SG
</S>	</S>+ESTag
<S>	<S>+BSTag
New	new+NOUN+PROP+A3SG+PNON+NOM
York'tan	york+NOUN+PROP+A3SG+PNON+ABL
Montreal'a	montreal+NOUN+PROP+A3SG+PNON+DAT
perşembe	perşembe+NOUN+A3SG+PNON+NOM
çıkışlı	çık+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM^DB+ADJ+WITH
uçuş	uç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM
var	var+ADJ
mı	mi+QUES+PRES+A3SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Dallas'tan	dallas+NOUN+PROP+A3SG+PNON+ABL
Atlanta'ya	atlanta+NOUN+PROP+A3SG+PNON+DAT
salı	salı+NOUN+A3SG+PNON+NOM
sabahı	sabah+NOUN+A3SG+P3SG+NOM
erken	erken+ADJ
saatlerde	saat+NOUN+A3PL+PNON+LOC
aktarmasız	aktarmasız+ADJ
uçuşları	uç+VERB+POS^DB+NOUN+INF3+A3SG+P3PL+NOM
listeleyin	listele+VERB+POS+IMP+A2PL
</S>	</S>+ESTag
<S>	<S>+BSTag
Pazartesi	pazartesi+NOUN+PROP+A3SG+PNON+NOM
günleri	gün+NOUN+A3PL+P3SG+NOM
olan	ol+VERB+POS^DB+ADJ+PRESPART
kule	kule+NOUN+A3SG+PNON+NOM
hava	hava+NOUN+A3SG+PNON+NOM
uçuşlarını	uç+VERB+POS^DB+NOUN+INF3+A3PL+P3SG+ACC
listeleyin	listele+VERB+POS+IMP+A2PL
</S>	</S>+ESTag
<S>	<S>+BSTag
Cuma	cuma+NOUN+PROP+A3SG+PNON+NOM
sabahı	sabah+NOUN+A3SG+P3SG+NOM
Philadelphia'daki	philadelphia+NOUN+PROP+A3SG+PNON+LOC^DB+ADJ+REL
kara	kara+NOUN+A3SG+PNON+NOM
ulaşımını	ulaşım+NOUN+A3SG+P3SG+ACC
göster	göster+VERB+POS+IMP+A2SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Bana	ben+PRON+PERS+A1SG+PNON+DAT
St.	St.+NOUN+PROP+A3SG+PNON+NOM
Petersburg'dan	petersburg+NOUN+PROP+A3SG+PNON+ABL
Toronto'ya	toronto+NOUN+PROP+A3SG+PNON+DAT
sabahın	sabah+NOUN+A3SG+PNON+GEN
erken	erken+ADJ
saatlerinde	saat+NOUN+A3PL+P3SG+LOC
varacak	var+VERB+POS^DB+ADJ+FUTPART+PNON
uçuşları	uç+VERB+POS^DB+NOUN+INF3+A3SG+P3PL+NOM
göster	göster+VERB+POS+IMP+A2SG
</S>	</S>+ESTag
<S>	<S>+BSTag
US	us+NOUN+A3SG+PNON+NOM
Air	air+NOUN+PROP+A3SG+PNON+NOM
ile	ile+POSTP+PCNOM
Washington	washington+NOUN+PROP+A3SG+PNON+NOM
DC'de	dc+NOUN+PROP+A3SG+PNON+LOC
mola	mola+NOUN+A3SG+PNON+NOM
vererek	ver+VERB+POS^DB+ADV+BYDOINGSO
Toronto'dan	toronto+NOUN+PROP+A3SG+PNON+ABL
San	san+NOUN+PROP+A3SG+PNON+NOM
Diego'ya	diego+NOUN+PROP+A3SG+PNON+DAT
giden	git+VERB+POS^DB+ADJ+PRESPART
tüm	tüm+DET
uçuşları	uç+VERB+POS^DB+NOUN+INF3+A3PL+P3SG+NOM
görüntüleyin	görüntüle+VERB+POS+IMP+A2PL
</S>	</S>+ESTag
<S>	<S>+BSTag
Toronto'dan	toronto+NOUN+PROP+A3SG+PNON+ABL
San	san+NOUN+PROP+A3SG+PNON+NOM
Diego'ya	diego+NOUN+PROP+A3SG+PNON+DAT
DC	dc+NOUN+PROP+A3SG+PNON+NOM
aktarmalı	aktarmalı+ADJ
Delta	delta+NOUN+PROP+A3SG+PNON+NOM
Airlines	airlines+NOUN+PROP+A3SG+PNON+NOM
uçuşu	uç+VERB+POS^DB+NOUN+INF3+A3SG+P3SG+NOM
bul	bul+VERB+POS+IMP+A2SG
</S>	</S>+ESTag
<S>	<S>+BSTag
New	new+NOUN+PROP+A3SG+PNON+NOM
York	york+NOUN+PROP+A3SG+PNON+NOM
City'den	city+NOUN+PROP+A3SG+PNON+ABL
Montreal	montreal+NOUN+PROP+A3SG+PNON+NOM
Kanada'ya	kanada+NOUN+PROP+A3SG+PNON+DAT
giden	git+VERB+POS^DB+ADJ+PRESPART
perşembe	perşembe+NOUN+A3SG+PNON+NOM
sabah	sabah+NOUN+A3SG+PNON+NOM
kalkacak	kalk+VERB+POS^DB+ADJ+FUTPART+PNON
uçuşların	uç+VERB+POS^DB+NOUN+INF3+A3PL+PNON+GEN
listesine	liste+NOUN+A3SG+P3SG+DAT
ihtiyacım	ihtiyaç+NOUN+A3SG+P1SG+NOM
var	var+ADJ
</S>	</S>+ESTag
<S>	<S>+BSTag
Kısıtlama	kısıtlama+NOUN+A3SG+PNON+NOM
Ap57	Ap57+NOUN+PROP+A3SG+PNON+NOM
nedir	ne+PRON+QUESP+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Ap80	Ap80+NOUN+PROP+A3SG+PNON+NOM
kısıtlaması	kısıtlama+NOUN+A3SG+P3SG+NOM
nedir	ne+PRON+QUESP+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Bana	ben+PRON+PERS+A1SG+PNON+DAT
St.	St.+NOUN+PROP+A3SG+PNON+NOM
Petersburg'dan	petersburg+NOUN+PROP+A3SG+PNON+ABL
kalkıp	kalk+VERB+POS^DB+ADV+AFTERDOINGSO
St.	St.+NOUN+PROP+A3SG+PNON+NOM
Louis'te	louis+NOUN+PROP+A3SG+PNON+LOC
konaklayarak	konakla+VERB+POS^DB+ADV+BYDOINGSO
Ontario	Ontario+NOUN+PROP+A3SG+PNON+NOM
Kanada'ya	kanada+NOUN+PROP+A3SG+PNON+DAT
giden	git+VERB+POS^DB+ADJ+PRESPART
American	american+NOUN+PROP+A3SG+PNON+NOM
Airlines	airlines+NOUN+PROP+A3SG+PNON+NOM
uçuşlarını	uç+VERB+POS^DB+NOUN+INF3+A3PL+P3SG+ACC
göster	göster+VERB+POS+IMP+A2SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Denver	denver+NOUN+PROP+A3SG+PNON+NOM
Colorado'da	colorado+NOUN+PROP+A3SG+PNON+LOC
kara	kara+NOUN+A3SG+PNON+NOM
taşımacılığı	taşımacılık+NOUN+A3SG+P3SG+NOM
ile	ile+POSTP+PCNOM
ilgili	ilgili+ADJ
bilgiye	bilgi+NOUN+A3SG+PNON+DAT
ihtiyacım	ihtiyaç+NOUN+A3SG+P1SG+NOM
var	var+ADJ
</S>	</S>+ESTag
<S>	<S>+BSTag
Arizona	arizona+NOUN+PROP+A3SG+PNON+NOM
havaalanını	havaalan+NOUN+A3SG+P3SG+ACC
listele	listele+VERB+POS+IMP+A2SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Şimdi	şimdi+ADV
bana	ben+PRON+PERS+A1SG+PNON+DAT
pazartesi	pazartesi+NOUN+A3SG+PNON+NOM
öğlen	öğlen+NOUN+A3SG+PNON+NOM
Houston'daki	houston+NOUN+PROP+A3SG+PNON+LOC^DB+ADJ+REL
karayolu	karayol+NOUN+A3SG+P3SG+NOM
ulaşımını	ulaşım+NOUN+A3SG+P3SG+ACC
göster	göster+VERB+POS+IMP+A2SG
</S>	</S>+ESTag
<S>	<S>+BSTag
22	22+NUM+CARD
Mayıs	mayıs+NOUN+PROP+A3SG+PNON+NOM
Cumartesi	cumartesi+NOUN+A3SG+PNON+NOM
günü	gün+NOUN+A3SG+P3SG+NOM
Kansas	kansas+NOUN+PROP+A3SG+PNON+NOM
City'den	city+NOUN+PROP+A3SG+PNON+ABL
Burbank'e	burbank+NOUN+PROP+A3SG+PNON+DAT
varan	var+VERB+POS^DB+ADJ+PRESPART
aktarmasız	aktarmasız+ADJ
uçuşlar	uç+VERB+POS^DB+NOUN+INF3+A3PL+PNON+NOM
nelerdir	ne+PRON+QUESP+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A3PL+COP
</S>	</S>+ESTag
<S>	<S>+BSTag
Kansas	kansas+NOUN+PROP+A3SG+PNON+NOM
City'den	city+NOUN+PROP+A3SG+PNON+ABL
Burbank'e	burbank+NOUN+PROP+A3SG+PNON+DAT
22	22+NUM+CARD
Mayıs	mayıs+NOUN+PROP+A3SG+PNON+NOM
Cumartesi	cumartesi+NOUN+A3SG+PNON+NOM
günü	gün+NOUN+A3SG+P3SG+NOM
aktarmasız	aktarmasız+ADJ
America	america+NOUN+PROP+A3SG+PNON+NOM
West	west+NOUN+PROP+A3SG+PNON+NOM
veya	veya+CONJ
Southwest	Southwest+NOUN+PROP+A3SG+PNON+NOM
Air	air+NOUN+PROP+A3SG+PNON+NOM
uçuşları	uç+VERB+POS^DB+NOUN+INF3+A3PL+P3SG+NOM
nelerdir	ne+PRON+QUESP+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A3PL+COP
</S>	</S>+ESTag
<S>	<S>+BSTag
Bana	ben+PRON+PERS+A1SG+PNON+DAT
Philadelphia'nın	philadelphia+NOUN+PROP+A3SG+PNON+GEN
çarşamba	çarşamba+NOUN+A3SG+PNON+NOM
sabahı	sabah+NOUN+A3SG+P3SG+NOM
karayolu	karayol+NOUN+A3SG+P3SG+NOM
ulaşım	ulaşım+NOUN+A3SG+PNON+NOM
programını	program+NOUN+A3SG+P3SG+ACC
göster	göster+VERB+POS+IMP+A2SG
</S>	</S>+ESTag
<S>	<S>+BSTag
1	1+NUM+CARD
Haziran	haziran+NOUN+PROP+A3SG+PNON+NOM
öğleden	öğle+NOUN+A3SG+PNON+ABL
sonrası	sonra+NOUN+A3SG+P3SG+NOM
için	için+POSTP+PCNOM
Los	los+NOUN+PROP+A3SG+PNON+NOM
Angeles'ten	angeles+NOUN+PROP+A3SG+PNON+ABL
Pittsburgh'a	pittsburgh+NOUN+PROP+A3SG+PNON+DAT
bir	bir+DET
uçuş	uç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM
rezervasyonu	rezervasyon+NOUN+A3SG+PNON+ACC
yapmak	yap+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
istiyorum	iste+VERB+POS+PROG1+A1SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Washington'dan	washington+NOUN+PROP+A3SG+PNON+ABL
Denver'e	denver+NOUN+PROP+A3SG+PNON+DAT
akşamüstü	akşamüstü+ADV
uçuşları	uç+VERB+POS^DB+NOUN+INF3+A3PL+P3SG+NOM
kaçta	kaçta+ADV
kalkıyor	kalk+VERB+POS+PROG1+A3SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Bana	ben+PRON+PERS+A1SG+PNON+DAT
San	san+NOUN+PROP+A3SG+PNON+NOM
Francisco'nun	francisco+NOUN+PROP+A3SG+PNON+GEN
perşembe	perşembe+NOUN+A3SG+PNON+NOM
akşamı	akşam+NOUN+A3SG+P3SG+NOM
kara	kara+ADJ
ulaşım	ulaşım+NOUN+A3SG+PNON+NOM
programını	program+NOUN+A3SG+P3SG+ACC
göster	göster+VERB+POS+IMP+A2SG
</S>	</S>+ESTag
<S>	<S>+BSTag
yemek	yemek+NOUN+A3SG+PNON+NOM
kodu	kod+NOUN+A3SG+P3SG+NOM
sb	sb+NOUN+A3SG+PNON+ACC
nedir	ne+PRON+QUESP+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3SG
</S>	</S>+ESTag
<S>	<S>+BSTag
S	S+NOUN+PROP+A3SG+PNON+NOM
yemek	yemek+NOUN+A3SG+PNON+NOM
kodunun	kod+NOUN+A3SG+P3SG+GEN
açılımı	açılım+NOUN+A3SG+P3SG+NOM
nedir	ne+PRON+QUESP+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Toronto'dan	toronto+NOUN+PROP+A3SG+PNON+ABL
San	san+NOUN+PROP+A3SG+PNON+NOM
Diego'ya	diego+NOUN+PROP+A3SG+PNON+DAT
Washington	washington+NOUN+PROP+A3SG+PNON+NOM
DC'de	dc+NOUN+PROP+A3SG+PNON+LOC
konaklayan	konakla+VERB+POS^DB+ADJ+PRESPART
Air	air+NOUN+PROP+A3SG+PNON+NOM
Canada	Canada+NOUN+PROP+A3SG+PNON+NOM
uçuşuna	uç+VERB+POS^DB+NOUN+INF3+A3SG+P3SG+DAT
ihtiyacım	ihtiyaç+NOUN+A3SG+P1SG+NOM
var	var+ADJ
</S>	</S>+ESTag
<S>	<S>+BSTag
Ve	ve+CONJ
şimdi	şimdi+ADV
bana	ben+PRON+PERS+A1SG+PNON+DAT
gece	gece+NOUN+A3SG+PNON+NOM
geç	geç+ADJ
saatlerde	saat+NOUN+A3PL+PNON+LOC
Boston'a	boston+NOUN+PROP+A3SG+PNON+DAT
gidebileceğim	git+VERB+POS^DB+VERB+ABLE+FUT+A1SG
kara	kara+NOUN+A3SG+PNON+NOM
ulaşımını	ulaşım+NOUN+A3SG+P3SG+ACC
gösterin	göster+VERB+POS+IMP+A2PL
</S>	</S>+ESTag
<S>	<S>+BSTag
Sabah	sabah+NOUN+A3SG+PNON+NOM
8.42'de	8.42+NUM+REAL^DB+NOUN+ZERO+A3SG+PNON+LOC
inersem	in+VERB+POS+AOR+COND+A1SG
Memphis	memphis+NOUN+PROP+A3SG+PNON+NOM
Havalimanından	havaliman+NOUN+A3SG+P3SG+ABL
şehir	şehir+NOUN+A3SG+PNON+NOM
merkezine	merkez+NOUN+A3SG+P3SG+DAT
kara	kara+NOUN+A3SG+PNON+NOM
ulaşımı	ulaşım+NOUN+A3SG+P3SG+NOM
var	var+ADJ
mı	mi+QUES+PRES+A3SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Hiç	hiç+ADV
Washington	washington+NOUN+PROP+A3SG+PNON+NOM
DC'de	dc+NOUN+PROP+A3SG+PNON+LOC
duran	dur+VERB+POS^DB+ADJ+PRESPART
Boston'dan	boston+NOUN+PROP+A3SG+PNON+ABL
San	san+NOUN+PROP+A3SG+PNON+NOM
Francisco'ya	francisco+NOUN+PROP+A3SG+PNON+DAT
uçuş	uç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM
var	var+ADJ
mı	mi+QUES+PRES+A3SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Bana	ben+PRON+PERS+A1SG+PNON+DAT
Atlanta'dan	atlanta+NOUN+PROP+A3SG+PNON+ABL
Oakland'a	oakland+NOUN+PROP+A3SG+PNON+DAT
öğleden	öğle+NOUN+A3SG+PNON+ABL
sonra	sonra+POSTP+PCABL
kalkan	kalk+VERB+POS^DB+ADJ+PRESPART
ve	ve+CONJ
öğleden	öğle+NOUN+A3SG+PNON+ABL
sonra	sonra+POSTP+PCABL
430	430+NUM+CARD
-	-+PUNC
630	630+NUM+CARD
arasında	ara+NOUN+A3SG+P3SG+LOC
varan	var+VERB+POS^DB+ADJ+PRESPART
aktarmasız	aktarmasız+ADJ
