<DOC>	<DOC>+BDTag
</S>	</S>+ESTag
<S>	<S>+BSTag
İlgilendiler	ilgilen+VERB+POS+PAST+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hizmet	hizmet+NOUN+A3SG+PNON+NOM
kalitesinden	kalite+NOUN+A3SG+P3SG+ABL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
10	10+NUM+CARD
puan	puan+NOUN+A3SG+PNON+NOM
veririm	ver+VERB+POS+AOR+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hizmet	hizmet+NOUN+A3SG+PNON+NOM
kalitesinden	kalite+NOUN+A3SG+P3SG+ABL
memnun	memnun+ADJ
kaldım	kal+VERB+POS+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ödediğim	öde+VERB+POS^DB+ADJ+PASTPART+P1SG
ücretin	ücret+NOUN+A3SG+PNON+GEN
karşılığını	karşılık+NOUN+A3SG+P3SG+ACC
alamadım	al+VERB^DB+VERB+ABLE+NEG+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Barcelona	barcelona+NOUN+PROP+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çok	çok+ADV
ilgilendiler	ilgilen+VERB+POS+PAST+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Her	her+DET
şey	şey+NOUN+A3SG+PNON+NOM
çok	çok+ADV
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
çok	çok+ADV
memnun	memnun+ADJ
kaldık	kal+VERB+POS+PAST+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çok	çok+ADV
memnun	memnun+ADJ
kaldık	kal+VERB+POS+PAST+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Animasyon	animasyon+NOUN+A3SG+PNON+NOM
ekibi	ekip+NOUN+A3SG+P3SG+NOM
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Süperdi	süper+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Personellerinden	personel+NOUN+A3PL+P3PL+ABL
memnun	memnun+ADJ
kaldık	kal+VERB+POS+PAST+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yıldızlı	yıldızlı+ADJ
5	5+NUM+CARD
puan	puan+NOUN+A3SG+PNON+NOM
veriyorum	ver+VERB+POS+PROG1+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çok	çok+ADV
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Her	her+DET
şey	şey+NOUN+A3SG+PNON+NOM
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bazı	bazı+DET
yemekler	yemek+NOUN+A3PL+PNON+NOM
iyi	iyi+ADJ
pişmemişti	piş+VERB+NEG+NARR+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Gayet	gayet+ADV
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bazı	bazı+DET
yemekler	yemek+NOUN+A3PL+PNON+NOM
iyi	iyi+ADJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çok	çok+ADV
memnun	memnun+ADJ
kaldım	kal+VERB+POS+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yeme	ye+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
içme	iç+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
imkanları	imkan+NOUN+A3PL+P3SG+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bilgi	bilgi+NOUN+A3SG+PNON+NOM
verildi	ver+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yeme	ye+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
içme	iç+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
imkanları	imkan+NOUN+A3PL+P3SG+NOM
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Memnun	memnun+ADJ
kaldık	kal+VERB+POS+PAST+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Arkadaşım	arkadaş+NOUN+A3SG+P1SG+NOM
yaptırdı	yap+VERB^DB+VERB+CAUS+POS+PAST+A3SG
puanlama	puanlama+NOUN+A3SG+PNON+NOM
yapmak	yap+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
istemiyorum	iste+VERB+NEG+PROG1+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İyiydi	iyi+ADJ^DB+VERB+ZERO+PAST+A3SG
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kaliteye	kalite+NOUN+A3SG+PNON+DAT
göre	göre+POSTP+PCDAT
pahalıydı	pahalı+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Rezervasyonu	rezervasyon+NOUN+A3SG+PNON+ACC
ben	ben+PRON+PERS+A1SG+PNON+NOM
yaptırmadım	yap+VERB^DB+VERB+CAUS+NEG+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Beklentilerimizi	beklenti+NOUN+A3PL+P1PL+ACC
karşıladı	karşıla+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çeşit	çeşit+NOUN+A3SG+PNON+NOM
azdı	az+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Her	her+DET
türlü	türlü+ADJ
yardımcı	yardımcı+NOUN+A3SG+PNON+NOM
oldu	ol+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Mükemmeldi	mükemmel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bar	bar+NOUN+A3SG+PNON+NOM
hizmetlerini	hizmet+NOUN+A3PL+P3SG+ACC
kullanmadık	kullan+VERB+NEG+PAST+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Normaldi	normal+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hiç	hiç+ADV
tanışmadık	tanış+VERB+NEG+PAST+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Küçüktü	küçük+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Beklediğim	bekle+VERB+POS^DB+ADJ+PASTPART+P1SG
kaliteyi	kalite+NOUN+A3SG+PNON+ACC
bulamadım	bul+VERB^DB+VERB+ABLE+NEG+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Temiz	temiz+ADJ
bir	bir+DET
tesisti	tesis+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hiç	hiç+ADV
bir	bir+DET
sorun	sorun+NOUN+A3SG+PNON+NOM
çıkmadı	çık+VERB+NEG+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Personelleri	personel+NOUN+A3PL+P3SG+NOM
ilgililerdi	ilgili+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bazı	bazı+DET
yerler	yer+NOUN+A3PL+PNON+NOM
temiz	temiz+ADJ
değildi	değil+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Konumu	konum+NOUN+A3SG+P3SG+NOM
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hiç	hiç+ADV
hizmet	hizmet+NOUN+A3SG+PNON+NOM
yoktu	yok+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
10	10+NUM+CARD
puan	puan+NOUN+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Zaman	zaman+NOUN+A3SG+PNON+NOM
Bey	bey+NOUN+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çok	çok+ADV
iyi	iyi+ADJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kahvaltısı	kahvaltı+NOUN+A3SG+P3SG+NOM
çok	çok+ADV
iyi	iyi+ADJ
değildi	değil+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İyi	iyi+ADJ
olarak	ol+VERB+POS^DB+ADV+BYDOINGSO
puanlarım	puanla+VERB+POS+AOR+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Araç	araç+NOUN+A3SG+PNON+NOM
rahat	rahat+ADJ
değildi	değil+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Puan	puan+NOUN+A3SG+PNON+NOM
vermek	ver+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
istemiyorum	iste+VERB+NEG+PROG1+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Her	her+DET
şey	şey+NOUN+A3SG+PNON+NOM
çok	çok+ADV
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ben	ben+PRON+PERS+A1SG+PNON+NOM
yapmadım	yap+VERB+NEG+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çok	çok+ADV
memnun	memnun+ADJ
kaldık	kal+VERB+POS+PAST+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Katılmadık	katıl+VERB+NEG+PAST+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Barış	barış+NOUN+PROP+A3SG+PNON+NOM
Bey	bey+NOUN+A3SG+PNON+NOM
ilgilendi	ilgilen+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
6	6+NUM+CARD
puan	puan+NOUN+A3SG+PNON+NOM
veriyorum	ver+VERB+POS+PROG1+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hizmet	hizmet+NOUN+A3SG+PNON+NOM
süper	süper+ADJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çok	çok+ADV
iyiydi	iyi+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Başak	başak+NOUN+PROP+A3SG+PNON+NOM
Hanım	hanım+NOUN+PROP+PNON+NOM
ile	ile+CONJ
görüşüldü	görüş+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çok	çok+ADV
yardımcı	yardımcı+NOUN+A3SG+PNON+NOM
oldu	ol+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
</DOC>	</DOC>+EDTag
