<DOC>	<DOC>+BDTag
düşünemiyorum	düşün+VERB^DB+VERB+ABLE+NEG+PROG1+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
hayvanların	hayvan+NOUN+A3PL+PNON+GEN
arasında	ara+NOUN+A3SG+P3SG+LOC
en	en+ADV
vahşisi	vahşi+ADJ^DB+NOUN+ZERO+A3SG+P3SG+NOM
kaplanmış	kaplan+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+NARR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Halk	halk+NOUN+A3SG+PNON+NOM
politikacıların	politikacı+NOUN+A3PL+PNON+GEN
çoğuna	çoğu+PRON+QUANTP+A3PL+P3PL+DAT
güvenmiyor	güven+VERB+NEG+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bugün	bugün+ADV
Ziya'yla	ziya+NOUN+PROP+A3SG+PNON+INS
buluştuğunuz	buluş+VERB+POS^DB+ADJ+PASTPART+P2PL
zaman	zaman+NOUN+A3SG+PNON+NOM
bana	ben+PRON+PERS+A1SG+PNON+DAT
telefon	telefon+NOUN+A3SG+PNON+NOM
edin	et+VERB+POS+IMP+A2PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Biletleri	bilet+NOUN+A3PL+PNON+ACC
aldıysan	al+VERB+POS+PAST+COND+A2SG
içeri	içeri+NOUN+A3SG+PNON+NOM
girelim	gir+VERB+POS+OPT+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
suçlulukla	suçluluk+NOUN+A3SG+PNON+INS
mı	mi+QUES+PRES+A3SG
</S>	</S>+ESTag
<S>	<S>+BSTag
dizgelerimde	dizge+NOUN+A3PL+P1SG+LOC
</S>	</S>+ESTag
<S>	<S>+BSTag
yapılaştırılmamış	yapılaş+VERB^DB+VERB+CAUS^DB+VERB+PASS+NEG+NARR+A3SG
</S>	</S>+ESTag
<S>	<S>+BSTag
Gidebilirim	git+VERB+POS^DB+VERB+ABLE+AOR+A1SG
de	de+CONJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Görüştürülemeye	gör+VERB+RECIP^DB+VERB+CAUS^DB+VERB+PASS^DB+VERB+ABLE+NEG+OPT+A3SG
de	de+CONJ
biliyor	bil+VERB+POS+PROG1+A3SG
muydunuz	mi+QUES+PAST+A2PL
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
çocuklarına	çocuk+NOUN+A3PL+P3SG+DAT
</S>	</S>+ESTag
<S>	<S>+BSTag
Evlerimizdeymişler	ev+NOUN+A3PL+P1PL+LOC^DB+VERB+ZERO+NARR+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Oturacağım	otur+VERB+POS+FUT+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Şu	şu+DET
anda	an+NOUN+A3SG+PNON+LOC
evden	ev+NOUN+A3SG+PNON+ABL
çıktı	çık+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yüzüyoruz	yüz+VERB+POS+PROG1+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yıkılmamıştı	yıkıl+VERB+NEG+NARR+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Dövüştürülmeyebiliyormuşsunuzdur	Dövüştürülmeyebiliyormuşsunuzdur+NOUN+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
sevmekle	sev+VERB+POS^DB+NOUN+INF+A3SG+PNON+INS
</S>	</S>+ESTag
<S>	<S>+BSTag
baktırmadığından	bak+VERB^DB+VERB+CAUS+NEG^DB+NOUN+PASTPART+A3SG+P3SG+ABL
</S>	</S>+ESTag
<S>	<S>+BSTag
Geçtin	geç+VERB+POS+PAST+A2SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bitirememiştir	bitir+VERB^DB+VERB+ABLE+NEG+NARR+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Okuyabilecekmiş	oku+VERB+POS^DB+VERB+ABLE+FUT+NARR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yazın	yazın+ADV
Paris'teydik	paris+NOUN+PROP+A3SG+PNON+LOC^DB+VERB+ZERO+PAST+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Mutlaka	mutlaka+ADV
zamanı	zaman+NOUN+A3SG+P3SG+NOM
vardır	var+ADJ^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
oturabilmek	otur+VERB+POS^DB+VERB+ABLE^DB+NOUN+INF+A3SG+PNON+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
Sever	sev+VERB+POS+AOR+A3SG
idi	i+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
öğrenci	öğrenci+NOUN+A3SG+PNON+NOM
değillerdi	değil+ADJ^DB+NOUN+ZERO+A3PL+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
evde	ev+NOUN+A3SG+PNON+LOC
yoklarmış	yok+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+NARR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Öğretmenler	öğretmen+NOUN+A3PL+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sorun	sorun+NOUN+A3SG+PNON+NOM
yaratacağı	yarat+VERB+POS^DB+ADJ+FUTPART+P3SG
belli	belli+ADJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sorun	sorun+NOUN+A3SG+PNON+NOM
yaratan	yarat+VERB+POS^DB+ADJ+PRESPART
kuruluşlar	kuruluş+NOUN+A3PL+PNON+NOM
uyarıldı	uyar+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sorun	sorun+NOUN+A3SG+PNON+NOM
yaratmaktansa	yarat+VERB+POS^DB+NOUN+INF+A3SG+PNON+ABL^DB+VERB+ZERO+COND+A3SG
sonuçları	sonuç+NOUN+A3PL+PNON+ACC
kabullendi	kabullen+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
koşmak	koş+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
için	için+POSTP+PCNOM
</S>	</S>+ESTag
<S>	<S>+BSTag
koşmam	koş+VERB+POS^DB+NOUN+INF2+A3SG+P1SG+NOM
için	için+POSTP+PCNOM
</S>	</S>+ESTag
<S>	<S>+BSTag
Gitmeyi	git+VERB+POS^DB+NOUN+INF2+A3SG+PNON+ACC
bekliyor	bekle+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Gitmenizi	git+VERB+POS^DB+NOUN+INF2+A3SG+P2PL+ACC
bekliyor	bekle+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Şarkı	şarkı+NOUN+A3SG+PNON+NOM
söylemene	söyle+VERB+POS^DB+NOUN+INF2+A3SG+P2SG+DAT
bayılıyor	bayıl+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Şarkı	şarkı+NOUN+A3SG+PNON+NOM
söylemeye	söyle+VERB+POS^DB+NOUN+INF2+A3SG+PNON+DAT
bayılıyor	bayıl+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Konuşmamda	konuş+VERB+POS^DB+NOUN+INF2+A3SG+P1SG+LOC
ısrar	ısrar+NOUN+A3SG+PNON+NOM
etti	et+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Konuşmakta	konuş+VERB+POS^DB+NOUN+INF+A3SG+PNON+LOC
ısrar	ısrar+NOUN+A3SG+PNON+NOM
etti	et+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Konuşmamdan	konuş+VERB+POS^DB+NOUN+INF2+A3SG+P1SG+ABL
korkuyor	kork+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Konuşmaktan	konuş+VERB+POS^DB+NOUN+INF+A3SG+PNON+ABL
korkuyor	kork+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Doktor	doktor+NOUN+A3SG+PNON+NOM
önce	önce+ADV
hastanın	hasta+ADJ^DB+NOUN+ZERO+A3SG+PNON+GEN
gözüne	göz+NOUN+A3SG+P3SG+DAT
mözüne	möz+NOUN+A3SG+P3SG+DAT
baktı	bak+VERB+POS+PAST+A3SG
,	,+PUNC
sonra	sonra+ADV
sorunu	sorun+NOUN+A3SG+PNON+ACC
anlamadığını	anla+VERB+NEG^DB+NOUN+PASTPART+A3SG+P3SG+ACC
söyledi	söyle+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Eve	ev+NOUN+A3SG+PNON+DAT
çat	çat+NOUN+A3SG+PNON+NOM
kapı	kapı+NOUN+A3SG+PNON+NOM
bir	bir+DET
alıcı	alıcı+NOUN+A3SG+PNON+NOM
geldi	gel+VERB+POS+PAST+A3SG
,	,+PUNC
odaları	oda+NOUN+A3PL+PNON+ACC
modaları	moda+NOUN+A3PL+PNON+ACC
dolaştı	dolaş+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Soner'i	soner+NOUN+PROP+A3SG+PNON+ACC
moneri	moner+NOUN+A3SG+PNON+ACC
görmedim	gör+VERB+NEG+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ben	ben+PRON+PERS+A1SG+PNON+NOM
adam	adam+NOUN+A3SG+PNON+NOM
tarih	tarih+NOUN+A3SG+PNON+NOM
hocasıymış	hoca+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+NARR+A3SG
marih	marih+NOUN+A3SG+PNON+NOM
hocasıymış	hoca+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+NARR+A3SG
anlamam	anla+VERB+NEG+AOR+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yavaş	yavaş+ADJ
yavaş	yavaş+ADJ
gel	gel+VERB+POS+IMP+A2SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çabuk	çabuk+ADV
çabuk	çabuk+ADV
yürüdük	yürü+VERB+POS+PAST+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kapı	kapı+NOUN+A3SG+PNON+NOM
kapı	kapı+NOUN+A3SG+PNON+NOM
dolaşıyor	dolaş+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sabah	sabah+NOUN+A3SG+PNON+NOM
sabah	sabah+NOUN+A3SG+PNON+NOM
aradı	ara+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Usul	usul+NOUN+A3SG+PNON+NOM
usul	usul+NOUN+A3SG+PNON+NOM
yapmışlar	yap+VERB+POS+NARR+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Rahat	rahat+ADJ
rahat	rahat+NOUN+A3SG+PNON+NOM
yetişiriz	yetiş+VERB+POS+AOR+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Birer	bir+NUM+CARD^DB+ADJ+DISTRIB
birer	bir+NUM+CARD^DB+ADJ+DISTRIB
gelin	gel+VERB+POS+IMP+A2PL
!	!+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Koca	koca+ADJ
koca	koca+ADJ
ağaçları	ağaç+NOUN+A3PL+PNON+ACC
kesiyorlar	kes+VERB+POS+PROG1+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sarı	sarı+ADJ
sarı	sarı+ADJ
evler	ev+NOUN+A3PL+PNON+NOM
var	var+ADJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Boy	boy+NOUN+A3SG+PNON+NOM
boy	boy+NOUN+A3SG+PNON+NOM
kutular	kutu+NOUN+A3PL+PNON+NOM
almış	al+VERB+POS+NARR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Boy	boy+NOUN+A3SG+PNON+NOM
boy	boy+NOUN+A3SG+PNON+NOM
kutu	kutu+NOUN+A3SG+PNON+NOM
almış	al+VERB+POS+NARR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çeşit	çeşit+NOUN+A3SG+PNON+NOM
çeşit	çeşit+NOUN+A3SG+PNON+NOM
yiyecekler	yiyecek+NOUN+A3PL+PNON+NOM
getirdiler	getir+VERB+POS+PAST+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çeşit	çeşit+NOUN+A3SG+PNON+NOM
çeşit	çeşit+NOUN+A3SG+PNON+NOM
yiyecek	yiyecek+NOUN+A3SG+PNON+NOM
getirdiler	getir+VERB+POS+PAST+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kutu	kutu+NOUN+A3SG+PNON+NOM
kutu	kutu+NOUN+A3SG+PNON+NOM
kitap	kitap+NOUN+A3SG+PNON+NOM
taşıdık	taşı+VERB+POS+PAST+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Adam	adam+NOUN+A3SG+PNON+NOM
kurnaz	kurnaz+ADJ
mı	mi+QUES+PRES+A3SG
kurnaz	kurnaz+ADJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Güzel	güzel+ADJ
mi	mi+QUES+PRES+A3SG
güzel	güzel+ADJ
bir	bir+DET
kız	kız+NOUN+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yavaş	yavaş+ADJ
mı	mi+QUES+PRES+A3SG
yavaş	yavaş+ADJ
okuyor	oku+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Konu	konu+NOUN+A3SG+PNON+NOM
komşu	komşu+NOUN+A3SG+PNON+NOM
yardıma	yardım+NOUN+A3SG+PNON+DAT
geldi	gel+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
ufak	ufak+ADJ
tefek	tefek+DUP
bir	bir+DET
çocuk	çocuk+NOUN+A3SG+PNON+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
Paldır	pal+NOUN+A3SG+PNON+NOM^DB+ADV+SINCE
küldür	kül+NOUN+A3SG+PNON+NOM^DB+ADV+SINCE
gittiler	git+VERB+POS+PAST+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çoluk	Çoluk+NOUN+A3SG+PNON+NOM
çocuk	çocuk+NOUN+A3SG+PNON+NOM
geldiler	gel+VERB+POS+PAST+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Önünde	ön+NOUN+A3SG+P3SG+LOC
süklüm	süklüm+DUP
püklüm	püklüm+DUP
duruyordu	dur+VERB+POS+PROG1+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
kız	kız+ADJ
kardeş	kardeş+NOUN+A3SG+PNON+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
naylon	naylon+ADJ
torba	torba+NOUN+A3SG+PNON+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
Yeşilbahar	Yeşilbahar+NOUN+PROP+A3SG+PNON+NOM
Sokak	sokak+NOUN+A3SG+PNON+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
büyükbaba	büyükbaba+NOUN+A3SG+PNON+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
at	at+NOUN+A3SG+PNON+NOM
arabası	araba+NOUN+A3SG+P3SG+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
gaz	gaz+NOUN+A3SG+PNON+NOM
sobası	soba+NOUN+A3SG+P3SG+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
Atatürk	atatürk+NOUN+PROP+A3SG+PNON+NOM
Bulvarı	bulvar+NOUN+A3SG+P3SG+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
buzdolabı	buzdolabı+NOUN+A3SG+PNON+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
buzdolabı	buzdolabı+NOUN+A3SG+PNON+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
erkek	erkek+ADJ
kardeş	kardeş+NOUN+A3SG+PNON+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
kız	kız+ADJ
arkadaş	arkadaş+NOUN+A3SG+PNON+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
kadın	kadın+ADJ
doktor	doktor+NOUN+A3SG+PNON+NOM
</S>	</S>+ESTag
<S>	<S>+BSTag
avukat	avukat+NOUN+A3SG+PNON+NOM
kadın	kadın+NOUN+A3SG+PNON+NOM
</S>	</S>+ESTag
</DOC>	</DOC>+EDTag
